id_cliente,nombre,apellido,email,telefono,direccion,ciudad,pais,fecha_registro,segmento,id_producto,categoria,precio,costo,stock,proveedor,fecha_ingreso,activo,rating,id_venta,fecha,cantidad,precio_unitario,descuento,impuestos,metodo_pago,vendedor,total
545.0,Feliciano,Anaya,cazorlasimon@example.org,+34926 82 53 71,"Pasadizo Abril Mas 12 Piso 7 , Huelva, 05514",Málaga,Zambia,2025-04-09,Básico,,,,,,,,,0.0,,,,,,,,,
546.0,Nieves,Pujadas,heraclioballester@example.net,+34 984 09 18 74,"Urbanización de Buenaventura Velázquez 5 Puerta 0 , Salamanca, 18504",Ciudad,Suiza,2023-08-07,Básico,,,,,,,,,0.0,,,,,,,,,
547.0,Yolanda,Roma,isa14@example.com,+34 925246191,"Cañada de Albino Hernández 66, Madrid, 24247",Santa Cruz de Tenerife,Uzbekistán,2025-03-14,Premium,,,,,,,,,0.0,,,,,,,,,
548.0,Amando,Ledesma,uribevictorino@example.com,+34 816963364,"Cañada Rosendo Montes 67 Puerta 0 , La Coruña, 46419",Asturias,República Popular Democrática de Corea,2023-04-12,Standard,,,,,,,,,0.0,,,,,,,,,
549.0,Edelmiro,Gracia,ssalgado@example.com,+34946023160,"Rambla de Charo Valbuena 78, Ciudad, 41412",Granada,Eslovenia,2024-11-28,Standard,,,,,,,,,0.0,,,,,,,,,
550.0,Adora,Castejón,paulinobayon@example.net,+34 987884704,"Plaza de Purificación Barral 80, Santa Cruz de Tenerife, 02773",Ceuta,Luxemburgo,2024-11-14,Premium,,,,,,,,,0.0,,,,,,,,,
551.0,Ibán,Madrigal,pepitovilla@example.com,+34 826162358,"Urbanización de Anabel Escolano 18, Huesca, 33305",Navarra,Timor-Leste,2023-01-24,Básico,,,,,,,,,0.0,,,,,,,,,
552.0,Almudena,Amigó,psanabria@example.net,+34984 72 30 10,"Pasaje Dimas Barceló 43, Teruel, 49878",Cáceres,Antigua y Barbuda,2022-12-11,Básico,,,,,,,,,0.0,,,,,,,,,
553.0,Heliodoro,Padilla,valderramabegona@example.net,+34844 121 474,"Plaza Fátima Murcia 7 Apt. 02 , Murcia, 47904",Cantabria,Azerbaiyán,2025-06-04,Standard,,,,,,,,,0.0,,,,,,,,,
554.0,Leandro,Novoa,haroldo14@example.net,+34 881 95 02 64,"Paseo Yéssica Ferrán 5 Piso 7 , Huesca, 39556",Burgos,Botswana,2024-09-29,Standard,,,,,,,,,0.0,,,,,,,,,
555.0,Azeneth,Benet,eloy41@example.com,+34 807 803 016,"Pasadizo Beatriz Gras 198 Puerta 7 , Madrid, 22150",Jaén,Malawi,2024-02-03,Básico,,,,,,,,,0.0,,,,,,,,,
556.0,Vera,Guerra,odalys86@example.net,+34 922 68 40 87,"Urbanización de Eustaquio Fuente 54, Asturias, 20146",Huesca,El Salvador,2023-01-15,Standard,,,,,,,,,0.0,,,,,,,,,
557.0,Violeta,Pla,pascualacarrera@example.org,+34 706 284 093,"Alameda de Galo Seguí 53 Piso 1 , Guadalajara, 20296",Huesca,Comoras,2023-09-07,Premium,,,,,,,,,0.0,,,,,,,,,
558.0,Itziar,Bermudez,salazarlorenza@example.org,+34 881 018 130,"Avenida Faustino Reguera 24, La Rioja, 50537",Navarra,Brasil,2023-09-29,Premium,,,,,,,,,0.0,,,,,,,,,
559.0,Fabián,Botella,alonso38@example.com,+34878039286,"Alameda Piedad Esteban 49, Almería, 27191",Lleida,Brunei Darussalam,2024-01-06,Standard,,,,,,,,,0.0,,,,,,,,,
560.0,Demetrio,Flores,belen94@example.com,+34 883 592 624,"Cuesta de Dalila Morante 752 Puerta 3 , La Coruña, 09572",Tarragona,Fiji,2024-10-14,Premium,,,,,,,,,0.0,,,,,,,,,
561.0,Félix,Arévalo,qmoran@example.org,+34 886469855,"Glorieta Alonso Borrell 36 Puerta 1 , Sevilla, 03444",Madrid,Tayikistán,2023-02-28,Standard,,,,,,,,,0.0,,,,,,,,,
562.0,Luna,Hurtado,bernarda99@example.net,+34823 10 04 26,"Acceso Valentín Jover 83, Ourense, 02285",Navarra,Andorra,2023-04-27,Básico,,,,,,,,,0.0,,,,,,,,,
563.0,Cirino,Calderon,felicia17@example.org,+34 827226643,"Calle Alfredo Gibert 9 Puerta 9 , Guipúzcoa, 24790",La Coruña,Nauru,2025-02-03,Premium,,,,,,,,,0.0,,,,,,,,,
564.0,Tomasa,Gil,perezanastasia@example.net,+34871 457 837,"Callejón Amada Crespo 93 Piso 3 , Cuenca, 09072",Granada,Djibouti,2024-03-10,Standard,,,,,,,,,0.0,,,,,,,,,
565.0,Maristela,Mateos,fbatalla@example.com,+34875 356 043,"Callejón Ildefonso Bueno 180, Murcia, 14697",Palencia,Vanuatu,2024-01-22,Premium,,,,,,,,,0.0,,,,,,,,,
566.0,Mario,Hierro,jose-antoniomuniz@example.com,+34 827209780,"Cañada de Beatriz Porcel 28 Piso 6 , Málaga, 45985",Ávila,Swazilandia,2024-05-12,Premium,,,,,,,,,0.0,,,,,,,,,
567.0,Augusto,Castell,mollmaite@example.org,+34 878 640 058,"Glorieta Goyo Marqués 67, Lugo, 48220",Granada,Chad,2024-11-05,Básico,,,,,,,,,0.0,,,,,,,,,
568.0,Odalys,Maza,bhuertas@example.org,+34 873 895 582,"Avenida Marcela Cisneros 37 Piso 5 , Valladolid, 26485",Burgos,Liechtenstein,2024-11-26,Básico,,,,,,,,,0.0,,,,,,,,,
569.0,Adán,Vallejo,cazorlarenata@example.org,+34 950805187,"Pasaje de Encarnita Guardia 1 Piso 0 , Sevilla, 23687",Ciudad,República Democrática del Congo,2022-11-04,Básico,,,,,,,,,0.0,,,,,,,,,
570.0,Victorino,Peña,xpages@example.com,+34880 209 623,"C. de América Nicolau 98, Murcia, 43293",Huesca,Argentina,2023-12-12,Standard,,,,,,,,,0.0,,,,,,,,,
571.0,Isabela,Olivé,umuro@example.org,+34883 45 00 10,"Cañada Maribel Herrera 27 Piso 7 , Almería, 25024",Cantabria,Granada,2025-06-29,Básico,,,,,,,,,0.0,,,,,,,,,
572.0,Mamen,Losada,gisbertmarciano@example.net,+34822121723,"Camino Lucas Benítez 6, Lleida, 32627",Murcia,Myanmar,2022-12-22,Básico,,,,,,,,,0.0,,,,,,,,,
573.0,Anabel,Téllez,pulidoloreto@example.org,+34980 16 74 73,"Paseo Encarnación Ariza 2 Apt. 80 , Cáceres, 43794",Albacete,Sudáfrica,2025-05-07,Premium,,,,,,,,,0.0,,,,,,,,,
574.0,Sol,Montserrat,dporras@example.org,+34880 873 703,"Vial Marcio Jódar 286 Piso 9 , Barcelona, 06186",Guadalajara,Mónaco,2024-02-07,Básico,,,,,,,,,0.0,,,,,,,,,
575.0,Gracia,Domínguez,rita41@example.org,+34826 02 29 57,"Cuesta Sergio Navas 11 Apt. 43 , Valencia, 16672",Madrid,Ecuador,2025-07-02,Básico,,,,,,,,,0.0,,,,,,,,,
576.0,Florencio,Bermudez,pastoruria@example.org,+34 883 98 14 31,"Alameda Vasco Murcia 50, Segovia, 29896",Sevilla,Samoa,2023-11-11,Premium,,,,,,,,,0.0,,,,,,,,,
577.0,Leonel,Corominas,sofiazamorano@example.org,+34 975 45 79 71,"Pasadizo de Itziar Macias 37, La Coruña, 28590",Baleares,República Democrática Popular Lao,2025-09-28,Premium,,,,,,,,,0.0,,,,,,,,,
578.0,Leoncio,Font,aitanaalvarado@example.com,+34 875418960,"Cañada de Emiliano Cerro 23 Piso 7 , Teruel, 30456",Tarragona,Albania,2024-12-21,Premium,,,,,,,,,0.0,,,,,,,,,
579.0,Imelda,Cepeda,navasgracia@example.org,+34 826 954 058,"Vial Susanita Guardia 797, Ceuta, 24989",Cantabria,Montenegro,2023-10-31,Básico,,,,,,,,,0.0,,,,,,,,,
580.0,Ciro,Beltran,faustino00@example.org,+34810 710 476,"Pasadizo Ámbar Sánchez 75 Apt. 13 , Ceuta, 19914",Sevilla,Guatemala,2023-08-21,Premium,,,,,,,,,0.0,,,,,,,,,
581.0,Lorena,Gordillo,amancio54@example.net,+34886 89 53 73,"C. Cesar Daza 79 Puerta 9 , La Rioja, 01566",Alicante,Austria,2025-08-23,Standard,,,,,,,,,0.0,,,,,,,,,
582.0,Débora,Lobato,vcuervo@example.com,+34 723702895,"Plaza de Clemente Maldonado 898, Las Palmas, 47477",Lleida,Israel,2024-02-07,Básico,,,,,,,,,0.0,,,,,,,,,
583.0,Pastora,Ferrera,pjorda@example.net,+34 947 174 552,"Acceso Clotilde Amat 2, Cantabria, 40712",Cáceres,Kenya,2025-06-29,Premium,,,,,,,,,0.0,,,,,,,,,
584.0,María Pilar,Seco,antonioramirez@example.net,+34980667839,"Alameda Jacinto Cepeda 93, Lugo, 48643",Segovia,Luxemburgo,2023-10-18,Standard,,,,,,,,,0.0,,,,,,,,,
585.0,Hernán,Carlos,igranados@example.com,+34901 77 49 35,"Pasaje de Aníbal Vaquero 927 Puerta 2 , Badajoz, 32848",Melilla,Dominicana,2023-08-06,Básico,,,,,,,,,0.0,,,,,,,,,
586.0,Eduardo,Delgado,teresita97@example.org,+34820 920 894,"Acceso Rocío Aguirre 26, Ciudad, 50472",La Rioja,Estonia,2023-07-02,Premium,,,,,,,,,0.0,,,,,,,,,
587.0,Alcides,Pardo,lamasduilio@example.net,+34 821 45 89 10,"Alameda Gabino Collado 1, Castellón, 22988",Lleida,Jordania,2023-04-28,Premium,,,,,,,,,0.0,,,,,,,,,
588.0,Carolina,Oliva,baltasarmurcia@example.com,+34883 203 211,"Alameda de Joel Mata 55 Puerta 4 , Ceuta, 42583",Alicante,Arabia Saudita,2023-09-25,Básico,,,,,,,,,0.0,,,,,,,,,
589.0,Pánfilo,Heredia,cescamilla@example.org,+34 863 19 36 00,"Callejón de Emelina Diego 96 Apt. 71 , Málaga, 01093",Albacete,Bahrein,2023-09-24,Básico,,,,,,,,,0.0,,,,,,,,,
590.0,Francisco Jose,Benavent,feliciana36@example.com,+34718 002 692,"Plaza de Anacleto Guerra 68 Apt. 44 , Lugo, 03160",Cuenca,Australia,2025-01-25,Premium,,,,,,,,,0.0,,,,,,,,,
591.0,Rocío,Bayón,elodiasoler@example.org,+34 942980487,"C. de Eliseo Piquer 75 Apt. 39 , Valladolid, 08418",Navarra,Marruecos,2023-05-13,Premium,,,,,,,,,0.0,,,,,,,,,
592.0,Artemio,Uriarte,marciano87@example.com,+34984 611 955,"Urbanización de Carmina Belmonte 43, Asturias, 50621",Albacete,Afganistán,2024-06-23,Premium,,,,,,,,,0.0,,,,,,,,,
593.0,Adoración,Pujadas,sigfridotorrijos@example.net,+34842412541,"Rambla Héctor Alberdi 5, Córdoba, 20947",Huesca,Islas Salomón,2024-05-23,Básico,,,,,,,,,0.0,,,,,,,,,
594.0,Paloma,Vilar,aliciabuendia@example.net,+34 920 26 49 05,"Ronda Bernarda Roselló 856, Murcia, 41275",Lleida,Sri Lanka,2023-11-18,Premium,,,,,,,,,0.0,,,,,,,,,
595.0,Íngrid,Guzman,heriberto75@example.net,+34923 652 232,"Alameda de Íñigo Pablo 482, Navarra, 35593",Baleares,Zimbabwe,2024-06-22,Standard,,,,,,,,,0.0,,,,,,,,,
596.0,Diana,Batlle,lunaferran@example.org,+34946 167 520,"Acceso Flavio Bru 343 Puerta 4 , Ceuta, 40905",Valencia,Guyana,2022-11-25,Premium,,,,,,,,,0.0,,,,,,,,,
597.0,Marianela,Ávila,merche58@example.org,+34 902 02 53 45,"Ronda de Xavier Amigó 48 Apt. 04 , Cáceres, 15226",Barcelona,Armenia,2023-04-20,Standard,,,,,,,,,0.0,,,,,,,,,
598.0,Clementina,Bertrán,juan-carlos00@example.net,+34803 68 12 40,"Pasadizo de Francisco Cabeza 908 Apt. 42 , Pontevedra, 38560",Álava,Bahrein,2025-03-01,Básico,,,,,,,,,0.0,,,,,,,,,
599.0,Dionisia,Bartolomé,etelvina06@example.net,+34945276377,"Vial de Rosa Lozano 571 Piso 4 , Albacete, 10157",Ciudad,Azerbaiyán,2025-05-27,Premium,,,,,,,,,0.0,,,,,,,,,
600.0,Federico,Mancebo,maria-luisa40@example.com,+34925 231 212,"Ronda de Flavia Gonzalez 244 Piso 7 , Palencia, 20847",Palencia,Antigua y Barbuda,2025-08-13,Básico,,,,,,,,,0.0,,,,,,,,,
601.0,Hernán,Hierro,herrerajafet@example.com,+34827109144,"Calle Fortunata Vázquez 1 Apt. 09 , Ávila, 43608",Navarra,Japón,2023-12-10,Premium,,,,,,,,,0.0,,,,,,,,,
602.0,Salomé,Valls,eligiaortuno@example.com,+34822 38 63 39,"Urbanización Julio César Posada 2 Apt. 15 , Badajoz, 13142",Melilla,Rumania,2025-05-08,Premium,,,,,,,,,0.0,,,,,,,,,
603.0,Sosimo,Jover,ztenorio@example.org,+34 961 290 065,"Rambla Efraín Donaire 30, Lugo, 20679",Navarra,Cabo Verde,2024-03-03,Premium,,,,,,,,,0.0,,,,,,,,,
604.0,Mateo,Bosch,albainiguez@example.net,+34843304517,"Ronda de Bienvenida Mena 79 Puerta 3 , Navarra, 14244",Salamanca,Camerún,2024-03-25,Standard,,,,,,,,,0.0,,,,,,,,,
605.0,Amancio,Santamaria,miguela57@example.org,+34848686402,"Acceso de Aitana Mas 81, Huesca, 31286",Jaén,Belice,2023-09-11,Básico,,,,,,,,,0.0,,,,,,,,,
606.0,Salud,Castilla,iblazquez@example.org,+34884100853,"Cañada Paula Acero 70, Almería, 20900",Granada,Senegal,2023-02-13,Básico,,,,,,,,,0.0,,,,,,,,,
607.0,Trinidad,Garriga,moralesaurea@example.com,+34800 915 149,"Alameda Primitivo Diez 18, Lleida, 15986",Asturias,República Democrática Popular Lao,2023-01-10,Premium,,,,,,,,,0.0,,,,,,,,,
608.0,Rufino,Rey,eustaquiomorales@example.org,+34873 175 123,"Camino Eleuterio Dalmau 17, Toledo, 07810",La Rioja,Irlanda,2025-02-18,Premium,,,,,,,,,0.0,,,,,,,,,
609.0,Clara,Dávila,zvalle@example.org,+34844 42 55 15,"Callejón María Belén Batalla 68 Puerta 4 , Baleares, 45502",Málaga,México,2022-11-23,Premium,,,,,,,,,0.0,,,,,,,,,
610.0,Horacio,Rocamora,qcortes@example.com,+34885 47 82 36,"C. de Bernarda Salazar 58 Piso 4 , Tarragona, 34864",Cantabria,Malasia,2024-06-03,Standard,,,,,,,,,0.0,,,,,,,,,
611.0,Estela,Azcona,calderonjeremias@example.net,+34706 62 44 04,"Paseo de Vicenta Tejera 5 Apt. 79 , Zamora, 02232",Salamanca,Iraq,2025-03-17,Standard,,,,,,,,,0.0,,,,,,,,,
612.0,Manu,Ramos,barbarabarco@example.net,+34820 44 95 71,"Vial María Manuela Montserrat 4, Ceuta, 30408",Salamanca,Mali,2024-03-19,Básico,,,,,,,,,0.0,,,,,,,,,
613.0,Asunción,Casanova,afalcon@example.com,+34977 46 46 99,"Cuesta Loida Giner 50 Piso 3 , Álava, 40389",Burgos,Hungría,2025-02-09,Básico,,,,,,,,,0.0,,,,,,,,,
614.0,Leandro,Roselló,frosado@example.org,+34 877 03 24 76,"Camino Amparo Luján 90, Lugo, 28194",La Rioja,Nauru,2023-12-28,Standard,,,,,,,,,0.0,,,,,,,,,
615.0,Francisco Javier,Cabañas,aguilaronofre@example.net,+34 986 72 94 20,"Acceso de Ildefonso Pizarro 5 Apt. 51 , Teruel, 29599",Cantabria,Arabia Saudita,2023-11-18,Standard,,,,,,,,,0.0,,,,,,,,,
616.0,Joaquina,Lobo,pbauza@example.com,+34926819216,"Pasaje de Gabino Amador 95 Puerta 8 , Albacete, 49190",Tarragona,Nigeria,2023-08-09,Premium,,,,,,,,,0.0,,,,,,,,,
617.0,Mar,Redondo,ester54@example.org,+34975 28 81 76,"C. de Florina Barros 44 Puerta 8 , Palencia, 10060",Jaén,Jamaica,2025-08-16,Básico,,,,,,,,,0.0,,,,,,,,,
618.0,Mirta,Uribe,jorge17@example.net,+34 633 028 837,"Camino Eduardo Reina 77 Apt. 74 , Badajoz, 15246",Santa Cruz de Tenerife,Honduras,2025-07-07,Básico,,,,,,,,,0.0,,,,,,,,,
619.0,Sigfrido,Sierra,gurrutia@example.org,+34 880 00 13 07,"Plaza de Máxima Carrillo 7, Zamora, 24458",Jaén,Australia,2024-03-16,Básico,,,,,,,,,0.0,,,,,,,,,
620.0,Alexandra,Torrents,emmaacevedo@example.net,+34 800 712 481,"Pasaje Delia Jordá 47, Sevilla, 21369",Melilla,Guinea Bissau,2025-10-05,Premium,,,,,,,,,0.0,,,,,,,,,
621.0,Modesta,Iñiguez,wcabeza@example.org,+34 967 79 51 79,"Callejón de Anna Donoso 4 Apt. 93 , Málaga, 39959",Almería,Japón,2024-09-29,Standard,,,,,,,,,0.0,,,,,,,,,
622.0,Antonia,Martín,montserrat21@example.net,+34972 478 106,"Via de Pánfilo Sanchez 75 Apt. 87 , Soria, 06551",Lugo,Benin,2023-02-21,Premium,,,,,,,,,0.0,,,,,,,,,
623.0,Irma,Miguel,qpineda@example.com,+34 920 86 99 40,"Rambla de Isaías Exposito 5 Puerta 0 , Santa Cruz de Tenerife, 10351",Guadalajara,Argentina,2024-12-31,Premium,,,,,,,,,0.0,,,,,,,,,
624.0,Ignacia,Cardona,felipemontenegro@example.org,+34 922 133 742,"Urbanización de Ágata Morillo 77 Puerta 4 , Málaga, 14015",Málaga,Mauritania,2023-02-23,Básico,,,,,,,,,0.0,,,,,,,,,
625.0,Calisto,Vilaplana,wcasanovas@example.com,+34 807 67 18 14,"Calle de Graciana Bolaños 30 Puerta 3 , Huesca, 35402",Ourense,Haití,2023-09-08,Premium,,,,,,,,,0.0,,,,,,,,,
626.0,Gervasio,Tapia,lisandro21@example.net,+34848 71 62 50,"Alameda de Amalia Cabrero 3 Apt. 83 , Granada, 30086",Ceuta,Sudán del Sur,2025-06-02,Standard,,,,,,,,,0.0,,,,,,,,,
627.0,Maite,Alarcón,gelabertemilio@example.org,+34 882 45 55 33,"Paseo de Maximiano Melero 45, Melilla, 12307",Cáceres,Haití,2023-11-06,Premium,,,,,,,,,0.0,,,,,,,,,
628.0,Nacho,Patiño,pacifica59@example.net,+34 986 837 011,"Avenida de Chuy Arroyo 6 Piso 7 , Albacete, 39214",Zamora,Francia,2022-11-21,Premium,,,,,,,,,0.0,,,,,,,,,
629.0,Piedad,Ponce,carmenespada@example.org,+34823 96 60 62,"Rambla de Roxana Ferrera 2, Castellón, 49236",Lugo,Tayikistán,2025-04-03,Standard,,,,,,,,,0.0,,,,,,,,,
630.0,Candelario,Agudo,nandoibanez@example.net,+34828127194,"Pasaje Adelaida Roura 38, León, 47574",Jaén,España,2022-10-28,Premium,,,,,,,,,0.0,,,,,,,,,
631.0,Diego,Estrada,acastillo@example.com,+34881913014,"Camino de Melisa Alegria 38, Albacete, 48069",Soria,Kenya,2024-02-11,Standard,,,,,,,,,0.0,,,,,,,,,
632.0,Gertrudis,Montserrat,moralessilvestre@example.com,+34 923180515,"Pasadizo de Cesar Torrents 2, Guadalajara, 40899",Valencia,San Marino,2024-01-24,Premium,,,,,,,,,0.0,,,,,,,,,
633.0,Edelmira,Galván,plopez@example.org,+34821 084 119,"Ronda de Isidro Iniesta 79 Apt. 35 , Zamora, 22906",Salamanca,Argentina,2024-10-11,Básico,,,,,,,,,0.0,,,,,,,,,
634.0,Manuela,Porta,ignacio25@example.net,+34877 71 87 83,"Pasaje de Mario Huguet 33, Castellón, 28801",Pontevedra,República Árabe Siria,2024-12-06,Standard,,,,,,,,,0.0,,,,,,,,,
635.0,Berta,Fernández,isans@example.org,+34 983 272 109,"Glorieta René Olivera 7, Huelva, 27843",Granada,Burundi,2024-03-29,Básico,,,,,,,,,0.0,,,,,,,,,
636.0,Baudelio,Olmedo,mironoemi@example.net,+34 924991415,"Acceso Nilo Ayala 10, Segovia, 19932",Granada,Estonia,2023-08-05,Premium,,,,,,,,,0.0,,,,,,,,,
637.0,Nicanor,Ros,herminio38@example.net,+34849 67 17 25,"C. Calixto Pinedo 4, Asturias, 13401",Tarragona,Malasia,2024-04-20,Standard,,,,,,,,,0.0,,,,,,,,,
638.0,Silvia,Elías,zarevalo@example.com,+34976150209,"Calle Javiera Vicente 67, Madrid, 33654",Jaén,Trinidad y Tabago,2023-05-14,Premium,,,,,,,,,0.0,,,,,,,,,
639.0,Hilario,Barco,rcarretero@example.org,+34 820 83 35 29,"Glorieta de Mirta Cal 99 Apt. 16 , Castellón, 10631",Salamanca,Sudáfrica,2025-05-04,Básico,,,,,,,,,0.0,,,,,,,,,
640.0,Pía,Fábregas,jriera@example.com,+34 740 01 24 88,"Pasadizo de Macarena Beltran 819 Puerta 9 , Guadalajara, 36971",Santa Cruz de Tenerife,Israel,2023-12-20,Premium,,,,,,,,,0.0,,,,,,,,,
641.0,Calixta,Peralta,manola67@example.org,+34 987 72 71 28,"Callejón de Américo Higueras 14 Apt. 49 , Castellón, 36812",Málaga,Argentina,2024-05-12,Premium,,,,,,,,,0.0,,,,,,,,,
642.0,Miguel,Balaguer,buenocarlos@example.com,+34873 620 126,"Cuesta Eloy Campo 32, Santa Cruz de Tenerife, 23032",Zamora,Brunei Darussalam,2024-09-07,Premium,,,,,,,,,0.0,,,,,,,,,
643.0,Evaristo,Méndez,ballestergeorgina@example.com,+34 820 494 990,"Alameda Fernando Aznar 56 Apt. 64 , La Coruña, 21761",Lleida,Nueva Zelandia,2025-08-16,Básico,,,,,,,,,0.0,,,,,,,,,
644.0,María Manuela,Romero,juliancomas@example.org,+34883988026,"Via de Gisela Cañizares 23 Piso 0 , Santa Cruz de Tenerife, 44691",Huesca,India,2025-04-15,Básico,,,,,,,,,0.0,,,,,,,,,
645.0,Amílcar,Pardo,maritacaceres@example.org,+34 921774548,"Pasadizo de Francisca Albero 16, Almería, 27591",León,Islas Marshall,2023-02-07,Standard,,,,,,,,,0.0,,,,,,,,,
646.0,Juan,Anguita,bermejozoraida@example.org,+34885509294,"Camino de Humberto Rebollo 93, Guadalajara, 47527",Murcia,Jamaica,2024-09-20,Premium,,,,,,,,,0.0,,,,,,,,,
647.0,Kike,Ripoll,duenassonia@example.com,+34945781635,"C. Nydia Alberto 32, Cuenca, 50107",Almería,Benin,2023-10-20,Premium,,,,,,,,,0.0,,,,,,,,,
648.0,Pastora,Raya,cazorlaomar@example.net,+34971562380,"Ronda Margarita Araujo 3 Apt. 20 , Las Palmas, 37448",La Rioja,Rwanda,2025-08-21,Standard,,,,,,,,,0.0,,,,,,,,,
649.0,José Luis,Cueto,ivillalonga@example.org,+34 869 38 85 96,"Avenida de Faustino Martín 711 Puerta 3 , Albacete, 49953",Zaragoza,Andorra,2023-10-22,Premium,,,,,,,,,0.0,,,,,,,,,
650.0,Graciela,Vicente,irma90@example.com,+34 947 15 78 21,"Acceso de Valentina Tolosa 17, Huelva, 49894",Lleida,Sudán,2024-02-24,Premium,,,,,,,,,0.0,,,,,,,,,
651.0,Nazario,Angulo,lourdes63@example.org,+34846 435 620,"Ronda Ezequiel Belmonte 49, Baleares, 24074",Teruel,Israel,2024-03-23,Premium,,,,,,,,,0.0,,,,,,,,,
652.0,Aurelia,Cueto,colomleire@example.org,+34848 175 982,"Acceso Hermenegildo Mayoral 1, Huesca, 31438",Santa Cruz de Tenerife,Liberia,2023-03-11,Premium,,,,,,,,,0.0,,,,,,,,,
653.0,Severino,Palomar,mayteferran@example.com,+34 971 982 747,"Ronda de Dulce Cabrera 872, Soria, 42140",Málaga,Maldivas,2023-12-17,Premium,,,,,,,,,0.0,,,,,,,,,
654.0,Íngrid,Merino,abellancarlos@example.net,+34979 09 41 37,"C. Vasco Pintor 14, Segovia, 19108",Badajoz,Bolivia,2025-05-10,Básico,,,,,,,,,0.0,,,,,,,,,
655.0,Paco,Olmedo,prudencio57@example.org,+34986750070,"Vial Hernando Benet 725 Puerta 7 , Baleares, 04319",Valencia,Albania,2024-11-08,Básico,,,,,,,,,0.0,,,,,,,,,
656.0,Bárbara,Moles,conrado04@example.org,+34915340371,"Glorieta Pía Sans 37 Apt. 14 , Castellón, 51243",Málaga,Kenya,2023-09-19,Básico,,,,,,,,,0.0,,,,,,,,,
657.0,Gloria,Jover,lunajaviera@example.com,+34 822 89 57 99,"Pasadizo Heriberto Cobo 44, Burgos, 10231",Granada,Austria,2024-04-30,Standard,,,,,,,,,0.0,,,,,,,,,
658.0,Adrián,Ródenas,figuerasbernabe@example.com,+34 945 461 364,"Callejón de Rocío Portero 601, Valladolid, 33428",Cádiz,Qatar,2024-01-30,Standard,,,,,,,,,0.0,,,,,,,,,
659.0,Javi,Amores,anunciacion30@example.org,+34 847670924,"Callejón de Abilio Carreño 38 Apt. 17 , La Rioja, 18060",Guadalajara,Niger,2025-05-23,Básico,,,,,,,,,0.0,,,,,,,,,
660.0,Cloe,Carbajo,cantonrita@example.org,+34926038759,"Callejón de Eusebio Avilés 26, Las Palmas, 06370",Salamanca,Myanmar,2024-02-15,Standard,,,,,,,,,0.0,,,,,,,,,
661.0,Jose Carlos,Piquer,villalbafito@example.org,+34924 770 378,"Cañada de Che Carreras 8, Tarragona, 21401",Alicante,República de Moldova,2024-10-15,Básico,,,,,,,,,0.0,,,,,,,,,
662.0,Toribio,Iñiguez,wduran@example.com,+34954 07 83 50,"Cañada de Benito Montenegro 45 Piso 6 , Madrid, 06771",La Coruña,Lesotho,2025-01-08,Premium,,,,,,,,,0.0,,,,,,,,,
663.0,Roberto,Bastida,alvareziris@example.com,+34987 19 58 25,"Urbanización de Eladio Fuertes 516, Ciudad, 12431",Toledo,República Democrática del Congo,2023-03-24,Premium,,,,,,,,,0.0,,,,,,,,,
664.0,Geraldo,Vara,otiliajordan@example.com,+34975868015,"Acceso Anna Dominguez 36, Lugo, 04412",Madrid,Irlanda,2025-09-29,Premium,,,,,,,,,0.0,,,,,,,,,
665.0,Clara,Porcel,salvador37@example.net,+34 979439741,"Callejón Telmo Luz 104 Puerta 1 , Córdoba, 38644",Las Palmas,Sudáfrica,2025-05-31,Básico,,,,,,,,,0.0,,,,,,,,,
666.0,Sebastian,Borrell,qdiego@example.com,+34876280517,"Camino de Ágata Pastor 171, Guadalajara, 06707",Huesca,Dominicana,2023-09-06,Standard,,,,,,,,,0.0,,,,,,,,,
667.0,Vicenta,Bermudez,cipriano35@example.org,+34842011987,"Cuesta Daniela Dominguez 48, Guadalajara, 25050",Guipúzcoa,Finlandia,2025-03-31,Básico,,,,,,,,,0.0,,,,,,,,,
668.0,Florinda,Bosch,sevillanocurro@example.net,+34 952090557,"Avenida de Julieta Barriga 38, Jaén, 33832",Valladolid,Ecuador,2023-02-14,Standard,,,,,,,,,0.0,,,,,,,,,
669.0,Manolo,Lucena,inigomendez@example.net,+34 675 14 15 73,"Camino de Eloísa Carmona 9, Huelva, 51802",Guipúzcoa,Argelia,2023-05-05,Standard,,,,,,,,,0.0,,,,,,,,,
670.0,Paulina,Arcos,aroaalberola@example.org,+34973 558 317,"C. Concepción Cervera 59, Córdoba, 09831",Ávila,Trinidad y Tabago,2025-05-13,Premium,,,,,,,,,0.0,,,,,,,,,
671.0,Arsenio,Lillo,alejandraalsina@example.com,+34 921 02 55 83,"Cañada de Adela Bru 39, Ávila, 51831",Castellón,Bangladesh,2024-04-05,Premium,,,,,,,,,0.0,,,,,,,,,
672.0,Baldomero,Ayllón,virginia09@example.org,+34942590874,"Callejón de Nando Amor 3, Granada, 36834",Lleida,Nigeria,2023-12-07,Básico,,,,,,,,,0.0,,,,,,,,,
673.0,Nacho,Ramirez,pelayovicens@example.org,+34 902296082,"Urbanización de Nilda Morán 5 Apt. 77 , Zaragoza, 03420",Ávila,Liberia,2024-07-27,Básico,,,,,,,,,0.0,,,,,,,,,
